 ,Label,Area,Mean,Min,Max,Angle,Length
1,,73.548,61.606,46.000,154.000,-117.728,80.105
2,,68.589,96.511,81.829,164.222,-115.313,74.415
3,,66.110,106.126,95.025,155.000,-77.550,71.683
4,,57.846,134.718,63.000,174.520,43.229,62.381
5,,52.888,66.381,60.755,119.000,-66.682,57.414
6,,47.930,114.031,107.316,162.000,-54.926,52.205
7,,41.319,123.420,112.653,171.000,-159.717,44.581
8,Mean,58.319,100.399,80.940,157.106,-78.384,63.255
9,SD,11.724,27.700,25.333,18.426,64.555,12.814
10,Min,41.319,61.606,46.000,119.000,-159.717,44.581
11,Max,73.548,134.718,112.653,174.520,43.229,80.105
