x,y,z,d,N,Mr,Hc,Hcr
40,40,40,10,15,0.50255915,0.0331,0.0398762212127578
40,40,40,10,16,0.50187134,0.0328,0.0421528073456915
40,40,40,10,17,0.50124573,0.0333,0.0395604789393126
40,40,40,10,18,0.50039798,0.034,0.0395370846124109
40,40,40,10,19,0.50003148,0.0334,0.0398186785008372
40,40,40,10,20,0.49952609,0.0333,0.0402165348555256
40,40,40,10,21,0.4990023,0.0339,0.0397747455839091
40,40,40,10,22,0.49851322,0.0341,0.0409754000314661
40,40,40,10,23,0.49815642,0.0338,0.0400571168287741
40,40,40,10,24,0.49780929,0.0339,0.0415215914386711
40,40,40,10,25,0.49744259,0.0341,0.0422084730342379
40,40,40,10,26,0.49706517,0.0339,0.0422349710556207
40,40,40,10,27,0.4969261,0.0343,0.0422079325949886
40,40,40,10,28,0.49659989,0.0346,0.0422237757434134
40,40,40,10,29,0.49649078,0.034,0.0415904235832872
40,40,40,10,30,0.49619169,0.0344,0.0397182038375282
40,40,40,15,10,0.50579247,0.0257,0.0320698948723155
40,40,40,20,10,0.49000772,0.0205,0.0270000880151143
40,40,40,30,10,0.45082154,0.0143,0.0217496796671231
40,40,40,40,10,0.45128749,0.0114,0.0168971647979009
40,40,40,50,10,0.60954313,0.00989999999999996,0.016890695612242
40,40,40,70,10,0.83466364,0.00980000000000003,0.0122586409806898
40,40,40,100,10,0.85536522,0.00950000000000001,0.0122080366651886
40,50,50,10,10,0.45026445,0.0175,0.0169899466420731
42,30,30,0,1,0.50431242,0.019,0.0341906255256833
42,30,30,1,10,0.49045305,0.0801,0.091025797265137
42,30,30,2,10,0.49054045,0.0776,0.0898419092819055
42,30,30,3,10,0.49049565,0.0743,0.085816260227547
42,30,30,5,10,0.4904022,0.0688,0.076609930585452
42,30,30,7,10,0.49034954,0.0652,0.0716552921731664
42,30,30,10,10,0.49020283,0.0588,0.0641076273022624
42,30,30,15,10,0.49001466,0.051,0.0572488374198477
42,30,30,20,10,0.4899348,0.0447,0.052209575139763
42,30,30,30,10,0.49001564,0.0352,0.0471161519671948
42,30,30,50,10,0.49010049,0.0264,0.0388752332452804
42,30,30,70,10,0.49071708,0.023,0.0371478500610579
42,30,30,100,10,0.49245481,0.0208,0.0370157330203782
44,40,40,0,1,0.82343733,0.00800000000000001,0.0169568740106698
44,40,40,1,10,0.49043588,0.0656,0.0772711211408027
44,40,40,2,10,0.49032545,0.062,0.072291607467076
44,40,40,3,10,0.49023642,0.0589,0.0710162877306503
44,40,40,5,10,0.49018068,0.0529,0.062290617074342
