x,y,z,d,N,Mr,Hc,Hcr
100,100,100,20,10,0.36587964,0.0266,0.0268939020563478
100,100,100,30,10,0.32358018,0.0252,0.0301635562409522
100,100,100,40,10,0.29774451,0.0213,0.0300792258492971
100,100,100,50,10,0.28694192,0.0196,0.0288314957035328
100,100,100,70,10,0.26733478,0.0167,0.0254758600485802
100,100,100,100,10,0.25003164,0.0163,0.0215654406439102
104,80,80,0,1,0.35643432,0.012,0.0126994146667395
104,80,80,10,10,0.47794971,0.0463,0.0495511820659364
108,90,90,10,10,0.46210665,0.0385,0.0421001377183449
110,100,100,0,1,0.2265058,0.0135,0.00420914442387462
110,100,100,10,10,0.42975582,0.0367,0.0370010383508583
110,110,110,10,1,0.1888246,0.0128,0.00698356562473986
110,110,110,10,10,0.39916603,0.0301,0.0319003983265451
112,80,80,0,1,0.35400544,0.0128,0.0134715470200761
112,80,80,1,10,0.48383702,0.0595,0.0623903966599313
112,80,80,2,10,0.48355706,0.058,0.06236093166873
112,80,80,3,10,0.48319257,0.0572,0.0623676126524197
112,80,80,5,10,0.48232075,0.0542,0.0573807254646473
112,80,80,7,10,0.48126101,0.0513,0.0551870449973531
112,80,80,10,10,0.47946803,0.0477,0.0520552448213147
112,80,80,15,10,0.47627645,0.043,0.0469820841035018
112,80,80,20,10,0.46988739,0.0395,0.0421520250528519
112,80,80,30,10,0.44475451,0.0332,0.0368780913396671
112,80,80,50,10,0.41085166,0.0269,0.0270922496134525
112,80,80,70,10,0.39537012,0.0221,0.0221544613027819
112,80,80,100,10,0.37832875,0.0179,0.0166617869757291
117,90,90,10,10,0.46800627,0.0399,0.0421894270243537
120,100,100,0,1,0.22464586,0.0133,0.0107026085119865
120,100,100,10,10,0.43840708,0.0369,0.0370610426719216
120,120,120,10,1,0.15547908,0.00989999999999996,0.0080379341206126
120,120,120,10,10,0.38309847,0.0268,0.0269738869137361
121,110,110,10,10,0.41023076,0.0322,0.0368184208881105
130,100,100,0,1,0.20967072,0.00650000000000001,0.0046682186881045
130,100,100,10,10,0.444845139534884,0.0372,0.0371377592587672
132,110,110,10,10,0.41970825,0.0345,0.0368920147400887
132,120,120,10,10,0.3944962,0.0286,0.0303240468203771
140,100,100,0,1,0.22536478,0.00719999999999998,0.00824532273163181
140,100,100,1,10,0.47519852,0.0475,0.0494287806475866
140,100,100,2,10,0.459540367088608,0.0467,0.0472978707338695
140,100,100,3,10,0.47330002,0.0449000000000001,0.0471646858579467
140,100,100,5,10,0.47024354,0.0431,0.0470607671201959
140,100,100,7,10,0.46538,0.0416,0.0421002559965037
140,100,100,10,10,0.45219433,0.0381,0.0420315990560296
140,100,100,15,10,0.43347852,0.0352,0.0369727077813026
140,100,100,20,10,0.41678999,0.0317,0.0319835412000895
140,100,100,30,10,0.38877553,0.0267,0.0269665424527162
140,100,100,50,10,0.35120331,0.02,0.0218791189066608
140,100,100,70,10,0.32647262,0.0164,0.016922075603576
140,100,100,100,10,0.29995904,0.0124,0.0130766168336417
140,140,140,10,10,0.35786787,0.0221,0.0221647626224433
143,110,110,10,10,0.42741895,0.0353,0.0369718322999726
144,120,120,10,10,0.40327533,0.0305,0.0319008121969589
150,50,50,1,10,0.49030817,0.1024,0.109486079657813
150,50,50,50,10,0.48773559,0.077,0.0970501630455439
156,120,120,10,10,0.41115112,0.0312,0.0319843157270767
160,100,100,1,10,0.47710408,0.0482,0.0521608112315463
160,100,100,10,10,0.46160856,0.0403,0.0420744212122172
160,100,100,20,10,0.43146493,0.0335,0.0369399477255848
180,100,100,10,10,0.47131868,0.0422999999999999,0.0434849942749122
200,50,50,1,10,0.49041505,0.1028,0.109539577966258
200,50,50,50,10,0.48852684,0.0868,0.108723400264599
200,100,100,1,10,0.48005754,0.0499,0.0522434592316033
200,100,100,10,10,0.47438134,0.0429,0.0453085141416241
200,100,100,20,10,0.45138428,0.0376,0.0371885850823725
200,200,200,10,1,0.08713786,0.00950000000000001,0.0128129769056722
400,40,40,0,1,0.49006346,0.1005,0.109248423157599
440,40,40,0,1,0.49013425,0.1009,0.109284926461106
480,40,40,0,1,0.4901796,0.1011,0.109300976117807
500,50,50,0,1,0.48962629,0.0977999999999999,0.109144204892594
520,40,40,0,1,0.49022921,0.1014,0.10937023127908
560,40,40,0,1,0.49026624,0.1016,0.109383668972751
600,60,60,0,1,0.48911006,0.0946,0.0972915657106312
700,50,50,0,1,0.49000053,0.1012,0.109300915477813
700,70,70,0,1,0.48871768,0.081,0.092259608209393
800,80,80,0,1,0.48190152,0.068,0.0772514245413817
840,60,60,0,1,0.48958725,0.0954,0.0974308631562001
900,90,90,0,1,0.47622727,0.0574,0.0622294716706994
980,70,70,0,1,0.48935425,0.0827,0.0906073226948145
1000,100,100,0,1,0.47015433,0.0509,0.0570508605731026
1120,80,80,0,1,0.48444012,0.0684,0.0757138414919135
1400,100,100,0,1,0.47623395,0.052,0.0571438838249067
