 ,Label,Area,Mean,Min,Max,Angle,Length
1,,549.273,127.742,105.000,176.667,29.745,113.371
2,,637.156,110.142,101.000,145.889,16.504,132.448
3,,703.069,110.210,100.326,145.333,22.479,144.844
4,,659.127,110.629,101.000,149.000,18.435,134.886
5,,593.214,99.072,84.577,131.333,20.556,123.076
6,,571.244,126.564,116.667,141.333,14.036,118.992
7,,659.127,102.824,92.000,150.556,9.782,137.441
8,,681.098,109.455,97.000,165.333,9.462,142.824
9,,681.098,114.919,104.564,143.630,29.982,138.565
10,,505.331,105.102,93.015,136.074,54.162,101.894
11,,417.447,122.565,109.528,173.259,106.390,83.059
12,Mean,605.199,112.657,100.425,150.764,30.139,124.673
13,SD,88.083,9.430,8.799,14.761,28.224,19.158
14,Min,417.447,99.072,84.577,131.333,9.462,83.059
15,Max,703.069,127.742,116.667,176.667,106.390,144.844
