 ,Label,Area,Mean,Min,Max,Angle,Length
1,,790.953,96.562,91.621,135.333,-79.992,161.831
2,,790.953,97.490,89.310,113.222,-78.366,163.646
3,,812.923,110.189,104.000,169.444,-57.653,169.097
4,,681.098,111.308,94.800,203.333,-42.274,139.364
5,,461.389,125.390,108.256,149.667,26.565,95.730
6,,725.040,117.666,82.889,153.667,-59.349,149.252
7,,790.953,101.787,90.438,107.667,-70.017,164.063
8,,812.923,98.891,88.398,105.918,-67.011,170.907
9,,790.953,89.710,80.476,111.667,-78.366,162.711
10,,812.923,122.256,111.665,152.556,-78.690,169.148
11,Mean,747.011,107.125,94.185,140.247,-58.515,154.575
12,SD,109.120,12.039,10.507,31.735,32.257,22.861
13,Min,461.389,89.710,80.476,105.918,-79.992,95.730
14,Max,812.923,125.390,111.665,203.333,26.565,170.907
