 ,Label,Area,Mean,Min,Max,Angle,Length
1,,45.752,168.244,120.000,194.920,-56.889,35.100
2,,62.092,149.415,64.333,176.989,-60.642,46.932
3,,78.431,140.960,65.000,158.943,-108.435,60.634
4,,58.824,141.330,82.000,165.877,-109.983,44.885
5,,44.444,164.030,83.000,193.703,-66.371,38.809
6,,58.025,149.137,62.333,180.025,-61.189,50.723
7,,61.728,148.399,105.667,159.524,-110.283,54.490
8,,48.148,150.862,70.000,170.912,-114.567,42.760
9,Mean,57.181,151.547,81.542,175.112,-86.045,46.792
10,SD,11.175,9.797,21.164,14.005,26.661,8.338
11,Min,44.444,140.960,62.333,158.943,-114.567,35.100
12,Max,78.431,168.244,120.000,194.920,-56.889,60.634
