 ,Label,Area,Mean,Min,Max,Angle,Length
1,,50.362,167.474,118.667,192.579,32.005,42.882
2,,68.440,143.251,68.667,180.120,34.902,59.581
3,,64.566,139.950,67.667,160.085,-12.907,55.959
4,,60.692,138.891,54.667,166.901,-19.231,51.751
5,,60.458,152.055,37.667,192.056,35.910,45.769
6,,65.359,149.831,106.333,178.410,35.707,50.374
7,,63.725,141.731,58.000,159.266,-19.855,48.926
8,,57.190,153.869,116.667,176.176,-29.539,44.077
9,Mean,61.349,148.381,78.542,175.699,7.124,49.915
10,SD,5.626,9.576,30.971,12.933,29.771,5.797
11,Min,50.362,138.891,37.667,159.266,-29.539,42.882
12,Max,68.440,167.474,118.667,192.579,35.910,59.581
