 ,Label,Area,Mean,Min,Max,Angle,Length
1,,98.855,153.218,112.790,241.000,-20.376,60.220
2,,176.899,106.870,72.582,185.011,-14.657,108.365
3,,184.703,40.038,0.000,94.000,-22.557,113.524
4,,202.914,22.272,0.367,185.000,-26.232,124.068
5,,195.109,39.308,0.872,127.128,-28.301,119.071
6,,187.305,10.541,0.000,139.000,-27.646,114.709
7,,187.305,67.587,7.813,122.817,-34.136,114.970
8,,174.298,125.219,106.240,147.512,-25.017,106.793
9,Mean,175.924,70.632,37.583,155.183,-24.865,107.715
10,SD,32.461,52.084,50.764,46.356,5.819,19.960
11,Min,98.855,10.541,0.000,94.000,-34.136,60.220
12,Max,202.914,153.218,112.790,241.000,-14.657,124.068
