 ,Label,Area,Mean,Min,Max,Angle,Length
1,,11.994,165.027,114.117,193.906,14.036,6.411
2,,14.393,176.297,166.503,194.252,53.130,7.623
3,,11.994,196.059,146.919,233.764,56.310,5.952
4,,14.393,168.917,124.323,185.623,68.199,7.529
5,,9.595,161.245,134.903,179.882,71.565,5.324
6,,14.393,176.045,168.898,179.985,-9.462,8.418
7,,23.988,190.565,138.305,202.932,-14.036,13.310
8,,21.589,185.048,147.624,201.369,-7.125,12.141
9,,16.792,207.870,197.103,227.156,-26.565,9.598
10,,7.196,186.422,147.063,206.218,0.000,3.571
11,,16.792,204.349,130.600,248.755,-9.462,9.598
12,,9.595,125.697,67.926,155.517,63.435,4.292
13,,9.595,164.117,124.634,192.404,75.964,4.908
14,,26.387,181.013,119.049,209.249,45.000,15.152
15,,7.196,162.735,126.050,185.077,26.565,3.765
16,,16.792,175.515,145.994,200.985,-9.462,9.598
17,,9.595,168.137,137.192,197.313,146.310,5.324
18,,16.792,159.562,140.428,177.229,135.000,9.298
19,,11.994,158.526,133.653,171.661,126.870,6.942
20,,7.196,146.458,130.734,157.339,116.565,2.662
21,,7.196,141.809,116.855,154.354,116.565,3.367
22,,16.792,139.772,70.484,162.622,135.000,9.298
23,,14.393,134.785,90.038,158.982,101.310,7.241
24,,11.994,117.357,27.343,170.338,90.000,5.952
25,,11.994,129.998,87.978,160.333,116.565,6.411
26,,23.988,194.844,113.823,249.222,116.565,14.385
27,,9.595,110.738,84.388,140.045,146.310,5.051
28,,7.196,143.820,125.283,159.188,90.000,3.571
29,,14.393,138.747,90.392,159.889,111.801,7.986
30,,9.595,119.212,99.602,138.675,108.435,5.324
31,,11.994,177.690,117.244,215.767,123.690,5.952
32,,7.196,159.384,108.978,209.091,108.435,3.765
33,,9.595,103.317,43.271,141.183,161.565,4.908
34,,14.393,137.026,67.646,164.871,101.310,7.529
35,Mean,13.193,159.062,117.216,184.858,75.011,7.122
36,SD,5.123,27.369,35.672,29.531,55.666,3.164
37,Min,7.196,103.317,27.343,138.675,-26.565,2.662
38,Max,26.387,207.870,197.103,249.222,161.565,15.152
