 ,Label,Area,Mean,Min,Max,Angle,Length
1,,51.423,75.119,65.500,100.000,59.744,25.722
2,,34.282,79.811,74.852,86.000,40.601,17.070
3,,37.710,62.029,36.000,106.000,36.870,18.515
4,,58.279,7.296,0.625,49.000,45.000,28.803
5,,58.279,12.016,0.000,82.000,34.695,29.275
6,,47.995,32.393,21.420,64.000,45.000,23.566
7,,44.566,46.517,37.062,69.000,65.556,22.372
8,,58.279,26.735,12.918,85.000,45.000,28.803
9,Mean,48.852,42.739,31.047,80.125,46.558,24.266
10,SD,9.477,27.704,27.973,18.818,10.771,4.741
11,Min,34.282,7.296,0.000,49.000,34.695,17.070
12,Max,58.279,79.811,74.852,106.000,65.556,29.275
