 ,Label,Area,Mean,Min,Max,Angle,Length
1,,103.509,137.222,134.444,140.000,-135.000,8.646
2,,51.754,128.667,128.667,128.667,0.000,2.398
3,,103.509,148.222,145.778,150.667,-135.000,6.783
4,,207.018,129.583,121.667,136.333,-108.435,22.109
5,,155.263,136.750,118.444,149.556,-90.000,16.957
6,,103.509,112.333,109.222,115.444,-90.000,7.194
7,,103.509,95.444,77.556,113.333,-90.000,9.887
8,,103.509,109.389,107.333,111.444,-90.000,9.887
9,,103.509,115.667,111.000,120.333,-135.000,6.783
10,,103.509,136.333,126.000,146.667,-135.000,10.174
11,,103.509,108.500,100.000,117.000,-135.000,7.583
12,,103.509,79.167,60.333,98.000,-135.000,7.583
13,,51.754,103.222,103.222,103.222,-90.000,3.391
14,,103.509,99.556,79.222,119.889,-135.000,8.646
15,,103.509,120.833,99.333,142.333,-135.000,8.646
16,,103.509,107.500,76.000,139.000,-135.000,10.174
17,,103.509,111.667,97.667,125.667,-135.000,10.724
18,,103.509,123.812,119.125,128.500,-90.000,7.194
19,,103.509,155.375,151.688,159.062,-90.000,7.194
20,,155.263,153.500,143.375,160.625,-90.000,10.940
21,,103.509,147.562,145.500,149.625,-90.000,9.685
22,,155.263,143.833,139.750,148.250,-90.000,14.388
23,,155.263,130.417,115.000,140.188,-90.000,15.367
24,,155.263,135.271,133.375,136.625,-90.000,14.831
25,,414.036,126.220,118.000,129.795,-108.435,50.165
26,,155.263,121.500,115.500,130.812,-135.000,13.697
27,Mean,127.396,123.752,114.508,132.348,-106.995,11.578
28,SD,67.449,19.035,23.622,16.648,30.689,8.929
29,Min,51.754,79.167,60.333,98.000,-135.000,2.398
30,Max,414.036,155.375,151.688,160.625,0.000,50.165
