 ,Label,Area,Mean,Min,Max,Angle,Length
1,,40.051,101.865,90.315,108.500,26.565,8.612
2,,30.038,84.471,81.143,87.297,90.000,4.777
3,,30.038,82.434,70.970,88.521,0.000,7.166
4,,20.026,68.867,62.387,75.347,0.000,2.389
5,,30.038,55.517,53.809,56.610,0.000,4.777
6,,30.038,77.111,64.267,90.839,-135.000,5.341
7,,3596283.243,184.561,0.000,255.000,0.000,0.000
8,,3596283.243,184.561,0.000,255.000,0.000,0.000
9,,20.026,21.099,21.000,21.198,180.000,2.389
10,,30.038,31.178,29.532,33.506,0.000,7.554
11,,30.038,46.381,42.729,49.652,45.000,5.341
12,,20.026,48.923,47.746,50.101,90.000,2.389
13,,3596283.243,184.561,0.000,255.000,0.000,0.000
14,,20.026,83.247,73.775,92.719,-90.000,3.378
15,Mean,770653.579,89.627,45.548,108.521,14.755,3.865
16,SD,1531340.849,55.951,31.024,83.070,75.757,2.837
17,Min,20.026,21.099,0.000,21.198,-135.000,0.000
18,Max,3596283.243,184.561,90.315,255.000,180.000,8.612
