 ,Label,Area,Mean,Min,Max,Angle,Length
1,,5.313,190.500,188.000,193.000,-45.000,4.374
2,,4.251,190.333,183.000,194.000,-45.000,2.916
3,,4.251,204.333,197.000,208.000,-45.000,2.916
4,,5.313,218.800,216.000,220.000,-33.690,3.717
5,,21.254,211.892,208.709,215.000,-42.879,19.695
6,,4.251,183.667,173.000,189.000,-45.000,2.916
7,,5.313,151.600,130.000,157.000,-26.565,4.610
8,,7.439,171.738,170.000,174.500,-30.964,6.011
9,,4.251,177.500,160.000,184.000,-18.435,3.260
10,,5.313,189.250,162.000,201.000,-45.000,4.374
11,,5.313,97.200,94.000,102.000,-26.565,4.610
12,,5.313,79.750,76.000,81.000,-33.690,3.717
13,,4.251,104.000,104.000,104.000,-45.000,2.916
14,,5.313,78.100,73.000,90.000,-56.310,3.717
15,,6.376,99.667,93.000,103.000,0.000,5.154
16,,6.376,92.500,78.000,107.000,0.000,5.154
17,,8.502,122.500,110.000,133.000,0.000,7.216
18,,7.439,149.000,137.000,158.000,9.462,6.271
19,,5.313,142.500,137.000,148.000,-56.310,3.717
20,,6.376,153.400,131.000,159.000,-53.130,5.154
21,,4.251,146.000,146.000,146.000,-18.435,3.260
22,,4.251,149.500,147.000,152.000,-18.435,3.260
23,,5.313,132.250,123.000,136.000,-45.000,4.374
24,,5.313,111.200,94.000,122.000,-33.690,3.717
25,Mean,6.110,147.799,138.780,153.188,-31.443,4.876
26,SD,3.422,42.775,42.923,41.825,19.036,3.358
27,Min,4.251,78.100,73.000,81.000,-56.310,2.916
28,Max,21.254,218.800,216.000,220.000,9.462,19.695
