 ,Label,Area,Mean,Min,Max,Angle,Length
1,,97.350,7.492,0.000,54.278,60.255,39.370
2,,118.983,6.800,0.039,46.745,58.570,48.364
3,,97.350,19.293,0.269,88.964,61.928,38.675
4,,97.350,8.692,0.000,55.873,45.000,39.089
5,,91.942,7.868,0.000,51.566,37.569,36.292
6,,64.900,12.120,2.321E-4,53.328,45.000,26.050
7,,86.533,4.442,0.000,37.435,50.194,35.197
8,,91.942,1.681,0.000,10.497,39.806,36.292
9,,91.942,8.276,0.000,43.867,53.130,36.292
10,,75.717,3.220,0.000,27.836,48.366,29.074
11,,81.125,4.988,0.000,38.137,50.711,32.312
12,,70.308,42.902,26.490,77.374,55.008,28.339
13,,64.900,30.484,10.843,60.486,29.055,24.787
14,,81.125,4.997,0.000,33.179,61.699,33.591
15,,59.492,16.646,0.000,67.838,49.399,23.066
16,Mean,84.731,11.993,2.509,49.827,49.713,33.786
17,SD,15.922,11.337,7.196,19.718,9.419,6.689
18,Min,59.492,1.681,0.000,10.497,29.055,23.066
19,Max,118.983,42.902,26.490,88.964,61.928,48.364
