 ,Label,Area,Mean,Min,Max,Angle,Length
1,,15.960,112.750,101.500,124.000,-45.000,3.158
2,,63.838,130.418,101.000,141.408,-74.055,19.211
3,,39.899,126.125,101.000,149.750,-63.435,12.068
4,,31.919,135.125,118.000,145.500,-71.565,9.475
5,,71.818,148.958,145.500,153.750,-45.000,22.993
6,,23.939,145.125,141.000,148.375,0.000,4.466
7,,23.939,133.979,107.750,147.188,-45.000,5.992
8,,47.879,146.758,135.500,151.400,-53.130,13.325
9,,39.899,139.950,118.000,149.250,-56.310,10.185
10,,15.960,152.250,149.500,155.000,-45.000,3.158
11,,23.939,150.250,147.500,154.750,-26.565,6.317
12,,39.899,147.219,129.500,153.500,-45.000,11.031
13,,39.899,149.838,130.000,158.500,-45.000,11.031
14,,31.919,147.215,127.000,156.250,-45.000,9.044
15,,31.919,150.208,126.000,163.833,-45.000,7.062
16,,23.939,129.375,90.000,159.000,-45.000,4.466
17,,47.879,158.220,148.000,170.000,-45.000,15.014
18,Mean,36.144,141.398,124.515,151.850,-46.768,9.882
19,SD,15.483,11.755,19.028,9.945,16.575,5.536
20,Min,15.960,112.750,90.000,124.000,-74.055,3.158
21,Max,71.818,158.220,149.500,170.000,0.000,22.993
