 ,Label,Area,Mean,Min,Max,Angle,Length
1,,63.246,80.511,68.578,101.000,-55.620,37.372
2,,65.881,101.034,92.146,129.000,-62.354,38.484
3,,79.057,65.819,58.316,73.000,-60.751,46.514
4,,94.869,101.911,88.849,119.000,-59.036,56.794
5,,73.787,81.960,67.000,132.000,-61.557,44.309
6,,73.787,90.429,81.704,116.000,-56.889,44.575
7,,76.422,83.843,72.311,107.000,-55.176,45.483
8,,50.070,58.146,54.000,70.000,-60.642,29.801
9,,76.422,104.501,78.000,121.625,-70.907,44.664
10,,60.611,73.634,67.041,81.000,-69.146,36.480
11,,68.516,79.931,74.442,94.000,-71.565,41.068
12,,76.422,51.285,41.214,93.000,-75.466,45.279
13,,89.598,77.133,57.909,152.000,-72.121,52.877
14,,76.422,97.872,72.286,166.000,-81.870,45.915
15,,63.246,63.370,45.087,115.000,-87.510,37.372
16,,50.070,102.322,92.000,117.000,-96.340,29.400
17,,55.340,65.540,58.500,82.000,-66.038,31.976
18,,36.893,90.724,76.692,109.000,-57.529,21.166
19,Mean,68.370,81.665,69.226,109.868,-67.806,40.529
20,SD,14.419,16.397,14.823,25.783,11.596,8.760
21,Min,36.893,51.285,41.214,70.000,-96.340,21.166
22,Max,94.869,104.501,92.146,166.000,-55.176,56.794
