 ,Label,Area,Mean,Min,Max,Angle,Length
1,,8.304,140.400,113.667,162.000,68.199,6.335
2,,6.920,123.217,95.667,162.667,45.000,4.991
3,,11.073,167.526,112.000,187.327,63.435,7.892
4,,8.304,140.533,101.667,172.667,78.690,5.999
5,,9.689,153.206,113.667,176.389,51.340,7.533
6,,11.073,193.676,187.551,204.714,45.000,8.319
7,Mean,9.227,153.093,120.703,177.627,58.611,6.845
8,SD,1.677,24.766,33.564,16.260,13.724,1.277
9,Min,6.920,123.217,95.667,162.000,45.000,4.991
10,Max,11.073,193.676,187.551,204.714,78.690,8.319
