 ,Label,Area,Mean,Min,Max,Angle,Length
1,,11.259,195.279,119.999,230.437,-14.036,6.845
2,,9.383,222.121,211.982,227.075,-45.000,5.627
3,,9.383,201.013,154.908,228.573,0.000,5.627
4,,7.506,204.917,154.673,238.064,-45.000,4.775
5,,5.630,186.962,162.777,202.497,0.000,3.376
6,,11.259,198.641,190.764,208.244,-45.000,6.366
7,,22.518,195.453,175.725,222.764,-41.186,14.412
8,,18.765,165.956,65.924,217.612,-45.000,12.732
9,,54.419,187.659,146.161,219.090,-24.775,38.757
10,,52.543,179.856,164.271,198.711,-31.329,37.274
11,Mean,20.266,193.786,154.718,219.307,-29.133,13.579
12,SD,18.232,15.130,39.915,12.763,18.564,13.343
13,Min,5.630,165.956,65.924,198.711,-45.000,3.376
14,Max,54.419,222.121,211.982,238.064,0.000,38.757
