 ,Label,Area,Mean,Min,Max,Angle,Length
1,,39.606,97.007,76.667,130.000,-61.928,36.168
2,,39.606,81.221,54.695,139.187,-55.840,36.381
3,,38.475,97.437,79.506,133.125,-37.569,34.715
4,,38.475,94.021,77.818,148.333,-26.565,35.095
5,,37.343,76.379,55.104,93.365,-17.879,34.239
6,,38.475,96.690,81.285,146.057,-19.537,35.333
7,,43.001,90.489,72.253,137.020,-20.376,39.891
8,,38.475,86.452,72.430,119.247,-62.650,34.842
9,,39.606,112.869,98.205,163.300,-78.366,36.173
10,,40.738,107.033,76.682,157.081,-116.565,37.657
11,Mean,39.380,93.960,74.465,136.671,-49.727,36.049
12,SD,1.582,11.041,12.611,19.979,31.819,1.681
13,Min,37.343,76.379,54.695,93.365,-116.565,34.239
14,Max,43.001,112.869,98.205,163.300,-17.879,39.891
