 ,Label,Area,Mean,Min,Max,Angle,Length
1,,52.543,103.541,79.417,137.270,-6.340,37.291
2,,63.802,65.065,32.683,171.885,-8.881,44.592
3,,35.654,128.047,106.184,147.230,-19.440,25.290
4,,56.296,116.983,99.148,154.190,-3.945,39.533
5,,58.172,111.648,86.538,135.082,-38.367,41.655
6,,35.654,78.858,35.000,145.926,-42.709,24.235
7,,41.284,132.706,100.044,183.477,-45.000,28.648
8,,67.555,105.772,88.927,136.435,-34.592,48.405
9,,35.654,73.358,44.764,210.897,-30.964,24.707
10,,45.037,121.717,104.659,178.218,-34.380,31.531
11,,24.395,135.587,117.534,191.574,-14.036,16.386
12,Mean,46.913,106.662,81.354,162.926,-25.332,32.934
13,SD,13.713,24.400,30.131,25.701,15.196,10.049
14,Min,24.395,65.065,32.683,135.082,-45.000,16.386
15,Max,67.555,135.587,117.534,210.897,-3.945,48.405
