 ,Label,Area,Mean,Min,Max,Angle,Length
1,,12.448,131.694,94.842,154.418,-29.055,11.018
2,,6.790,150.647,131.369,172.227,-53.130,5.281
3,,6.790,121.188,98.358,146.134,-68.199,5.641
4,,10.184,133.516,118.865,152.058,-39.806,8.592
5,,9.053,156.829,106.097,173.639,-23.199,7.446
6,,9.053,133.742,122.333,139.947,-26.565,7.177
7,,6.790,135.530,116.606,163.148,-30.964,5.728
8,,10.184,133.691,114.795,155.753,-66.801,8.515
9,,6.790,128.162,109.333,155.391,-90.000,5.728
10,Mean,8.676,136.111,112.511,156.968,-47.524,7.236
11,SD,2.040,10.980,11.609,11.128,23.293,1.895
12,Min,6.790,121.188,94.842,139.947,-90.000,5.281
13,Max,12.448,156.829,131.369,173.639,-23.199,11.018
