 ,Label,Area,Mean,Min,Max,Angle,Length
1,,58.001,73.184,4.313,181.000,-140.389,45.906
2,,74.360,60.660,26.571,114.796,-177.663,59.806
3,,75.848,64.201,11.540,121.000,176.566,61.085
4,,78.822,93.473,69.538,133.769,59.982,63.379
5,,78.822,74.295,31.793,129.204,52.028,63.426
6,,81.797,53.982,24.926,88.309,58.671,65.673
7,,90.720,23.534,0.000,156.000,54.462,73.434
8,,86.258,41.010,3.842,166.000,70.615,69.811
9,,68.412,89.185,56.025,132.764,80.961,54.333
10,,59.488,115.952,64.615,178.000,109.359,47.826
11,,58.001,95.504,45.925,156.000,114.567,46.931
12,,68.412,82.757,43.000,132.467,93.814,55.000
13,Mean,73.245,72.311,31.841,140.776,46.081,58.884
14,SD,10.949,25.558,24.208,27.367,102.295,9.011
15,Min,58.001,23.534,0.000,88.309,-177.663,45.906
16,Max,90.720,115.952,69.538,181.000,176.566,73.434
