 ,Label,Area,Mean,Min,Max,Angle,Length
1,,2.739,22.167,17.667,24.000,0.000,3.378
2,,2.739,29.333,10.333,51.000,0.000,3.378
3,,3.196,39.286,21.333,51.000,-9.462,4.110
4,,2.739,63.600,42.200,83.733,-11.310,3.445
5,,5.022,75.364,39.333,92.000,0.000,6.757
6,,5.022,46.676,24.467,99.333,5.711,6.790
7,,5.478,126.568,95.000,145.939,5.194,7.463
8,Mean,3.848,57.571,35.762,78.144,-1.410,5.046
9,SD,1.260,35.631,28.499,40.153,6.622,1.863
10,Min,2.739,22.167,10.333,24.000,-11.310,3.378
11,Max,5.478,126.568,95.000,145.939,5.711,7.463
