 ,Label,Area,Mean,Min,Max,Angle,Length
1,,25.333,154.456,116.604,210.000,-67.797,36.250
2,,44.098,137.949,113.903,229.000,-73.124,63.702
3,,40.345,9.801,0.000,111.000,-78.425,58.030
4,,36.123,23.163,0.000,210.000,-86.987,52.127
5,,32.370,21.989,9.000,105.000,-39.053,46.746
6,,34.247,23.268,0.000,127.000,-7.224,49.019
7,,28.617,140.555,107.200,199.000,-101.497,41.238
8,,40.814,76.150,24.000,150.000,-86.673,59.004
9,,29.555,104.294,71.000,169.000,-46.302,42.631
10,Mean,34.611,76.847,49.079,167.778,-65.231,49.861
11,SD,6.289,58.977,52.538,46.682,29.368,9.147
12,Min,25.333,9.801,0.000,105.000,-101.497,36.250
13,Max,44.098,154.456,116.604,229.000,-7.224,63.702
