 ,Label,Area,Mean,Min,Max,Angle,Length
1,,31.501,10.193,3.894,103.000,-101.802,46.248
2,,36.066,10.746,3.667,118.667,-92.936,52.772
3,,36.066,8.329,5.757,51.000,-98.858,52.655
4,,36.066,7.662,6.453,15.592,-98.130,52.555
5,,42.915,9.885,7.333,96.667,-94.917,63.070
6,,36.980,7.690,4.708,30.333,-95.001,54.261
7,,32.871,10.139,5.333,114.333,-90.000,47.973
8,,11.413,15.294,6.150,123.000,-77.735,15.904
9,Mean,32.985,9.992,5.412,81.574,-93.672,48.180
10,SD,9.340,2.457,1.270,42.705,7.408,13.961
11,Min,11.413,7.662,3.667,15.592,-101.802,15.904
12,Max,42.915,15.294,7.333,123.000,-77.735,63.070
