 ,Label,Area,Mean,Min,Max,Angle,Length
1,,7.975,201.941,179.000,212.000,7.125,11.044
2,,4.691,121.100,54.000,144.000,0.000,6.164
3,,2.815,136.300,124.000,141.000,21.801,3.688
4,,1.877,88.000,66.000,110.000,71.565,2.166
5,,2.815,52.000,50.000,54.000,68.199,3.688
6,,2.346,180.400,162.000,188.500,33.690,2.470
7,,2.346,182.600,173.000,189.000,0.000,2.740
8,,2.815,146.333,129.000,155.000,0.000,3.425
9,Mean,3.460,138.584,117.125,149.188,25.297,4.423
10,SD,2.005,50.887,53.794,50.427,30.033,2.944
11,Min,1.877,52.000,50.000,54.000,0.000,2.166
12,Max,7.975,201.941,179.000,212.000,71.565,11.044
